,URLS
95,https://olympics.com/en/olympic-games/rio-2016/results/swimming
96,https://olympics.com/en/olympic-games/rio-2016/results/table-tennis
97,https://olympics.com/en/olympic-games/rio-2016/results/taekwondo
98,https://olympics.com/en/olympic-games/rio-2016/results/tennis
99,https://olympics.com/en/olympic-games/rio-2016/results/trampoline
100,https://olympics.com/en/olympic-games/rio-2016/results/triathlon
101,https://olympics.com/en/olympic-games/rio-2016/results/volleyball
102,https://olympics.com/en/olympic-games/rio-2016/results/water-polo
103,https://olympics.com/en/olympic-games/rio-2016/results/weightlifting
104,https://olympics.com/en/olympic-games/rio-2016/results/wrestling
105,https://olympics.com/en/olympic-games/sochi-2014/results/alpine-skiing
106,https://olympics.com/en/olympic-games/sochi-2014/results/biathlon
107,https://olympics.com/en/olympic-games/sochi-2014/results/bobsleigh
108,https://olympics.com/en/olympic-games/sochi-2014/results/cross-country-skiing
109,https://olympics.com/en/olympic-games/sochi-2014/results/curling
110,https://olympics.com/en/olympic-games/sochi-2014/results/figure-skating
111,https://olympics.com/en/olympic-games/sochi-2014/results/freestyle-skiing
112,https://olympics.com/en/olympic-games/sochi-2014/results/ice-hockey
113,https://olympics.com/en/olympic-games/sochi-2014/results/luge
114,https://olympics.com/en/olympic-games/sochi-2014/results/nordic-combined
115,https://olympics.com/en/olympic-games/sochi-2014/results/short-track-speed-skating
116,https://olympics.com/en/olympic-games/sochi-2014/results/skeleton
117,https://olympics.com/en/olympic-games/sochi-2014/results/ski-jumping
118,https://olympics.com/en/olympic-games/sochi-2014/results/snowboard
119,https://olympics.com/en/olympic-games/sochi-2014/results/speed-skating
120,https://olympics.com/en/olympic-games/london-2012/results/archery
121,https://olympics.com/en/olympic-games/london-2012/results/athletics
122,https://olympics.com/en/olympic-games/london-2012/results/badminton
123,https://olympics.com/en/olympic-games/london-2012/results/basketball
124,https://olympics.com/en/olympic-games/london-2012/results/beach-volleyball
125,https://olympics.com/en/olympic-games/london-2012/results/boxing
126,https://olympics.com/en/olympic-games/london-2012/results/canoe-slalom
127,https://olympics.com/en/olympic-games/london-2012/results/cycling-mountain-bike
128,https://olympics.com/en/olympic-games/london-2012/results/cycling-road
129,https://olympics.com/en/olympic-games/london-2012/results/cycling-track
130,https://olympics.com/en/olympic-games/london-2012/results/diving
131,https://olympics.com/en/olympic-games/london-2012/results/fencing
132,https://olympics.com/en/olympic-games/london-2012/results/football
133,https://olympics.com/en/olympic-games/london-2012/results/handball
134,https://olympics.com/en/olympic-games/london-2012/results/hockey
135,https://olympics.com/en/olympic-games/london-2012/results/judo
136,https://olympics.com/en/olympic-games/london-2012/results/marathon-swimming
137,https://olympics.com/en/olympic-games/london-2012/results/modern-pentathlon
138,https://olympics.com/en/olympic-games/london-2012/results/rowing
139,https://olympics.com/en/olympic-games/london-2012/results/sailing
140,https://olympics.com/en/olympic-games/london-2012/results/shooting
141,https://olympics.com/en/olympic-games/london-2012/results/swimming
142,https://olympics.com/en/olympic-games/london-2012/results/table-tennis
143,https://olympics.com/en/olympic-games/london-2012/results/taekwondo
144,https://olympics.com/en/olympic-games/london-2012/results/tennis
